id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4569293905991812,Jt4Emp8K8,2635759011,福州生态环境,#寻找福州美##福州生态美#【福州：建设有颜值重气质的宜居城市】　福州有107条主干河道，曾经黑不可闻的水系，如今水清岸绿，一派秀美。水边的惬意生活，得益于“十三五”期间福州开展的有史以来规模最大的城区水系综合治理，沿河截污、内河清淤，让水清起来，此为治标；管网清疏、修建闸泵，把水引进来，让水多起来、动起来，此为治本。　　经过1000多个日夜坚持不懈的全域治理，榕城魅力水色逐渐显现。2018年11月，福州获评首批全国黑臭水体治理示范城市。眼下，“政府+企业”双河长制、水系巡查队“上岗”，全生命周期的管护，让治水、护水久久为功。　　水系治理的春风，也吹绿了城市休闲空间。如今，福州376个串珠公园沿河分布，串起滨河绿道500.8公里。此外，12条休闲步道、15座生态公园陆续建成开放，每个县（区）都有一个，公共绿地各具特色，成为市民“打卡”的网红点。　　滨河绿道之外，零星旧改地块也被一并纳入改造计划。2019年以来，当地政府对一些闲置、废弃或无人管理的未利用零星地块及一年内无法进场施工的收储地进行了提升改造。昔日荒地废墟，如今已被105个街头小公园替代。　　现在，绿色已然成为福州底色，市民可以推窗见绿、出门进园、行路见荫。截至去年底，福州市人均公园绿地面积15.33平方米，绿化覆盖率达45.39%，建成区绿地率达42.22%，位居福建省九个设区市之首。　　今年，福州启动新一轮城市品质提升工程，共生成项目2157个，涵盖工程建设、园林绿化提升、日常管理等大类，让榕城成为有颜值、有温度的“宜居城市”。　　被誉为“万国建筑博物馆”的福州烟台山历史风貌区，曾经是连片旧屋区。家住在附近的市民林诗琪说，“烟台山这几年变化很大，以前是旧屋区，改造之后，解决了许多家庭的居住问题。”眼下，烟台山乐群路周边的多幢建筑已经建成，外观样式、色彩与烟台山历史风貌区和谐统一。　　从“忧居”到“安居”，从“蜗居”到“广厦”，2018年福州市启动三年旧改行动，计划改造106个连片旧屋区项目。为此，该市在全国首创安置型商品房模式，以市场化运作引进开发商参与建设，既有效提升安置房品质，更大大缩短了群众回迁时间。如今，已基本完成三年旧改目标任务，不仅圆了群众的安居梦，还促进了城市基础设施的完善。　　针对暂时不具备拆迁条件的老旧小区，福州市着手进行老旧小区改造。据统计，2017年至2019年该市已对415个老旧小区实施改造，今年又有126个老旧小区列入改造计划。为巩固老旧小区改造成果，房管部门还牵头建立了由社区居委会、业主委员会和物业服务企业三方共同参与、共同规范物业管理的工作机制。O福州：建设有颜值重气质的宜居城市,,,,"寻找福州美,福州生态美",0,0,0,2020-11-09 10:13,微博 weibo.com,"['http://ww3.sinaimg.cn/large/9d1a7da3ly1gkip9gegitj20m80etjzw.jpg', 'http://ww2.sinaimg.cn/large/9d1a7da3ly1gkip9gisejj20m80et7d6.jpg']",,
4326189105482774,HaZiun0jQ,2785149403,花寂语,福州台屿河公园&休闲步道&佛亭——即黑臭治理7项策略，包括沿河截污、内河清淤、管网清疏、把水引进来、让水多起来、让水动起来、让水清起来。O网页链接,,,,,0,0,1,2019-01-08 14:02,荣耀手机 勇敢做自己,['http://ww1.sinaimg.cn/large/a60201dbly1fyz52ecyswj21400u07gb.jpg'],,
4299394553048323,GFHHNcN0v,2639029341,福州发布,#福州城建#【旧树兜河治水“四步走”截污系统下月底完成升级】全长920米的旧树兜河正全方位“清肠”，拆除不堪重负的旧管网，清理管内及汇入河内的残渣，并原位复建900米长的新管，管径也被增大至0.5米。目前，河下截污管第一段200米重建段已完成，第二段400米重建段已完成50%，第三段300米重建段已完成30%。预计11月底，截污系统将完成升级，随着沿线驳岸、栏杆、绿化等齐头并进，旧树兜河将焕发新颜。O旧树兜河治水“四步走”截污系统下月底完成升级,,,,福州城建,3,0,1,2018-10-26 15:30,微博 weibo.com,['http://ww3.sinaimg.cn/large/9d4c645dgy1fwlfgi83cej20go0ae0uk.jpg'],,
4244049835356374,GitW7mtr8,5040767720,福州广播电视台,【阳岐河:本月底完成永久截污管网施工】位于福州仓山区的阳岐河，流经海峡奥体中心，最终汇入乌龙江。作为龙津阳岐水系中最难治理的一条黑臭内河，自去年底基本消除了黑臭后，将要在本月底完成永久性截污工程。L福州广播电视台的秒拍视频,,,,,0,1,0,2018-05-26 22:09,360安全浏览器,,"http://f.us.sinaimg.cn/003ny4fOlx07kLVjfmmk01040200k0G90k010.mp4?label=mp4_ld&template=640x360.28&ori=0&ps=1BVp4ysnknHVZu&Expires=1607663639&ssig=FpXrxCrl1g&KID=unistore,video",
4200802404529688,G0kScj0nu,2639029341,福州发布,#福州城建#【数据看福州宜居环境建设不断“加码”】2017年，福州整治城区易涝点45个，埋设沿河截污管道70公里，清除内河淤泥211万立方米，清疏排水管网1020公里，打通断头河5条，城区43条内河基本消除黑臭。新建滨河绿道20公里、串珠公园70个。完成连片旧屋区改造42个、566万平方米，整治提升老旧小区35个。实施城区首批缓堵软硬件项目252个，平均车速提高6.83%。新建无害化公厕336座。造林绿化8.9万亩，种植大树21万棵，建成12条生态休闲步道、12个生态主题公园。2018年，以“生态美”为目标，排查修复四城区排水管网1000公里，埋设沿河截污管156公里，改造生态驳岸73公里，新建串珠公园98个，建成晋安河畔旅游观光带，增加滨河绿地109万平方米，滨河步道270公里。全力推进51个片区、1041万平方米、3.82万户连片旧屋区改造，完成300个老旧小区综合整治。新建、改建无害化公厕377座。新改扩建市政道路160公里以上，实施第二批385个缓堵软硬件项目，新增公共停车泊位7500个。O福州宜居环境建设不断“加码”　旧城蝶变硕果多,,,,福州城建,1,0,3,2018-01-27 14:00,微博 weibo.com,['http://ww4.sinaimg.cn/large/9d4c645dly1fnuxylkr6rj20og0g5ary.jpg'],,
4150839017175036,Flkypu6yo,5134043072,直通屏山,#污水管网##舆情关注#【福建重拳推进城市污水管网建设改造和黑臭水体整治】省政府日前下发《推进城市污水管网建设改造和黑臭水体整治工作方案》，明确提出建立长效机制，超常规推进污水管网建设改造和86条黑臭水体整治。其中，福州、厦门城市建成区2017年底前完成黑臭水体清淤疏浚、河道清障、沿河主要排污口截污、生态补水工程，基本消除黑臭水体；到2018年底前基本完善污水管网，达到长“制”久清。O福建重拳推进城市污水管网建设改造和黑臭水体整治,,,,"污水管网,舆情关注",0,0,0,2017-09-11 17:03,专业版微博,,,
4150724423698009,FlhzAfw1j,3365993480,福建日报,【今年内福建新建改造城镇污水管网1500公里以上】省政府日前下发《推进城市污水管网建设改造和黑臭水体整治工作方案》，明确提出建立长效机制，超常规推进污水管网建设改造和86条黑臭水体整治。其中，福州、厦门城市建成区2017年底前完成黑臭水体清淤疏浚、河道清障、沿河主要排污口截污、生态补水工程，基本消除黑臭水体；到2018年底前基本完善污水管网，达到长“制”久清。,,,,,2,0,2,2017-09-11 09:28,微博 weibo.com,['http://ww3.sinaimg.cn/large/c8a0fc08gy1fjfcldovajj20dw07j7cf.jpg'],,
4043111736686450,Ei5x3s3rY,2639029341,福州发布,【仓山启动综合水系治理】#福州城建#仓山区目前已启动综合水系治理工作，力争采取综合措施，通过源头治污、沿河截污、内河清淤、管网清疏、水多水动、生态修复、完善制度等多措并举来治理黑臭…O网页链接,,,,福州城建,1,7,1,2016-11-18 10:33,专业版微博,,,
4043096159270221,Ei57VCTBH,5134043072,直通屏山,#政务指数##社会民生#【城区水系正在治理水利部门解释开闸排污水问题】当前，福州已开启“四位一体”的城区水系综合治理工作，其中水体黑臭治理、污染源治理是重要目标，将从源头治污、沿河截污、内河清淤、管网清疏、雨污分流等多方面进行，力争在不久的将来实现中心城区水系“水清、河畅、安全、生态”。O城区水系正在治理水利部门解释开闸排污水问题,,,,"政务指数,社会民生",1,0,0,2016-11-18 09:31,专业版微博,,,
4038539476172480,EgaArpTK8,6045665845,喵喵球喵喵,#福州打造最优投资环境#福州城区共有107条内河，总长度达到244公里，汇水面积300平方公里。为打造最优投资环境，近年来，福州市启动了大规模的内河综合整治工程，第一批纳入整治的75条内河中，建成截污管网90公里，改造沿河旧屋区150万平方米，新建沿河带状公园超200万平方米，形成滨河绿道84公里。,,,,福州打造最优投资环境,0,0,0,2016-11-05 19:45,超话,,,
3642466693928231,AhOKFgtUz,1803747782,奇异的彩虹,福州花大钱整治内河依然脏臭市民质疑花冤枉钱.内河再次污染，沿线截污工程未完善。为何投资巨大的内河整治过程中没有解决这个关键环节呢?有关负责人说，福州污水管网设施不健全，截污工程由福州水环境公司负责.市民认为，内河整治应考虑污水问题，这样局部治理，就是花冤枉钱.O网页链接,,,,,0,1,1,2013-11-08 20:53,分享按钮,['http://ww2.sinaimg.cn/large/6b8301c6jw1eadwmrm325j20dw0afwff.jpg'],,
3605347556164565,A2f75pRGt,2553604372,福州新闻网fznews,自2011年初建成以来，福州五四北琴亭湖水质黑臭至今未能根治。记者从晋安区环保局获悉，流入琴亭湖的共有9条溪流，许多区域截污管网尚未铺设到位，造成大量村民生活废水排入内河。近日的一次监测数据显示，马沙溪氨氮超标6倍多。O网页链接,,,,,5,1,0,2013-07-29 10:35,福州新闻网,['http://ww3.sinaimg.cn/large/9834e914jw1e73hk409e7j20980dw0u8.jpg'],,
3438279502379844,yg3P89Z6A,2635759011,福州生态环境,#媒体关注#今年我市计划投资6.38亿元，动建洋里污水处理厂三期工程，建成污水管网30公里，提高污水收集、处理能力。此外将进一步实施内河沿河截污工作，重点整治超标排放和餐饮店污水排放，完善江北城区内河补水规划，分批、逐步实施生态补水工程。via：@福州日报http://t.cn/zOlyaGp,,,福州日报http,媒体关注,0,0,0,2012-04-24 10:06,微博 weibo.com,,,
